titulo,link,item_id,preco,preco_confiavel,desconto,tipo_promocao,imagem,categoria
Mini Projetor Davely Hy300 4k Android Com Wi-fi E Bluetooth Branco 127/220v,https://www.mercadolivre.com.br/mini-projetor-davely-hy300-4k-android-com-wi-fi-e-bluetooth/p/MLB48955624?pdp_filters=deal%3AMLB779362-1#polycard_client=offers&deal_print_id=a301d43d-f853-4d3b-8489-c5387390cd49&position=1&tracking_id=3a75e362-8be6-4c50-8f21-a47583d138aa&wid=MLB4275712681&sid=offers,MLB48955624,173.9,sim,41,oferta_do_dia,https://http2.mlstatic.com/D_Q_NP_2X_902043-MLA96988011016_112025-AB.webp,ofertas
Tenis Mizuno Jet 8 Masculino,https://produto.mercadolivre.com.br/MLB-3872723957-tenis-mizuno-jet-8-masculino-_JM?searchVariation=197777724573#polycard_client=offers&deal_print_id=a301d43d-f853-4d3b-8489-c5387390cd49&position=2&tracking_id=3a75e362-8be6-4c50-8f21-a47583d138aa,MLB110345645894,240.94,sim,39,oferta_do_dia,https://http2.mlstatic.com/D_Q_NP_2X_923785-MLB107391725800_032026-AB-tenis-mizuno-jet-8-masculino.webp,ofertas
Console Playstation 5 Pro 2tb Branco Sony Bivolt Branco,https://www.mercadolivre.com.br/console-playstation-5-pro-2tb-branco-sony-bivolt-branco/p/MLB41975964?pdp_filters=deal%3AMLB779362-1#polycard_client=offers&deal_print_id=a301d43d-f853-4d3b-8489-c5387390cd49&position=3&tracking_id=3a75e362-8be6-4c50-8f21-a47583d138aa&wid=MLB4057635429&sid=offers,MLB41975964,6599.0,sim,17,oferta_do_dia,https://http2.mlstatic.com/D_Q_NP_2X_727482-MLA99962144409_112025-AB.webp,ofertas
"Sofá Veneza 2,40m Retrátil Reclinável Grafite Usb Porta Copo Grafite",https://www.mercadolivre.com.br/sofa-veneza-240m-retratil-reclinavel-grafite-usb-porta-copo/up/MLBU3504234773?pdp_filters=deal%3AMLB779362-1#polycard_client=offers&deal_print_id=a301d43d-f853-4d3b-8489-c5387390cd49&position=5&tracking_id=3a75e362-8be6-4c50-8f21-a47583d138aa&wid=MLB5834923568&sid=offers,MLB779362,1444.0,sim,36,oferta_do_dia,https://http2.mlstatic.com/D_Q_NP_2X_952142-MLB95484341326_102025-AB.webp,ofertas
Café Em Grao Torrado Expresso Arábica Torra Escura Grãos 1kg Gourmet Cafe Italle,https://www.mercadolivre.com.br/cafe-em-grao-torrado-expresso-arabica-torra-escura-gros-1kg-gourmet-cafe-italle/p/MLB19542141?pdp_filters=deal%3AMLB779362-1#polycard_client=offers&deal_print_id=a301d43d-f853-4d3b-8489-c5387390cd49&position=7&tracking_id=3a75e362-8be6-4c50-8f21-a47583d138aa&wid=MLB4579770708&sid=offers,MLB19542141,62.0,sim,37,oferta_do_dia,https://http2.mlstatic.com/D_Q_NP_2X_620439-MLA99452591834_112025-AB.webp,ofertas
Impressora Multifuncional Hp Smart Tank 584 - Preta Preto 127/220v,https://www.mercadolivre.com.br/impressora-multifuncional-hp-smart-tank-584-preta/p/MLB34801962?pdp_filters=deal%3AMLB779362-1#polycard_client=offers&deal_print_id=a301d43d-f853-4d3b-8489-c5387390cd49&position=8&tracking_id=3a75e362-8be6-4c50-8f21-a47583d138aa&wid=MLB4319861067&sid=offers,MLB34801962,716.4,sim,47,oferta_do_dia,https://http2.mlstatic.com/D_Q_NP_2X_883539-MLA112255562562_062026-AB.webp,ofertas
Tênis Reserva Roma Masculino Casual Cano Baixo Elegante,https://produto.mercadolivre.com.br/MLB-4081278987-tnis-reserva-roma-masculino-casual-cano-baixo-elegante-_JM?searchVariation=188195995287#polycard_client=offers&deal_print_id=a301d43d-f853-4d3b-8489-c5387390cd49&position=12&tracking_id=3a75e362-8be6-4c50-8f21-a47583d138aa,MLB85461139997,255.99,sim,36,oferta_relampago,https://http2.mlstatic.com/D_Q_NP_2X_876206-MLB85157928606_052025-AB-tnis-reserva-roma-masculino-casual-cano-baixo-elegante.webp,ofertas
Balança Bioimpedancia Digital 180kg Smart Imc Profissional Rishon Com Aplicativo Preto,https://www.mercadolivre.com.br/balanca-bioimpedancia-digital-180kg-smart-imc-profissional-rishon-com-aplicativo/p/MLB68838381?pdp_filters=deal%3AMLB779362-1#polycard_client=offers&deal_print_id=a301d43d-f853-4d3b-8489-c5387390cd49&position=18&tracking_id=3a75e362-8be6-4c50-8f21-a47583d138aa&wid=MLB4625924357&sid=offers,MLB68838381,28.87,sim,63,oferta_relampago,https://http2.mlstatic.com/D_Q_NP_2X_957981-MLA110124413534_042026-AB.webp,ofertas
Bola Volei 8.0 Pró Penalty Quadra Selo Fivb Amarelo Amarelo/roxo,https://www.mercadolivre.com.br/bola-volei-80-pro-penalty-quadra-selo-fivb-amarelo/p/MLB24438946?pdp_filters=deal%3AMLB779362-1#polycard_client=offers&deal_print_id=a301d43d-f853-4d3b-8489-c5387390cd49&position=19&tracking_id=3a75e362-8be6-4c50-8f21-a47583d138aa&wid=MLB4107909959&sid=offers,MLB24438946,284.99,sim,26,oferta_relampago,https://http2.mlstatic.com/D_Q_NP_2X_892159-MLA99961034565_112025-AB.webp,ofertas
Testo Essencial - Fórmula Exclusiva Com Feno Grego + Boro + Arginina + Zma + Vitamina B6 - Precursor Da Testosterona - 60 Cápsulas Sem Sabor,https://www.mercadolivre.com.br/testo-essencial-formula-exclusiva-com-feno-grego-boro-arginina-zma-vitamina-b6-precursor-da-testosterona-60-capsulas/p/MLB58582424?pdp_filters=deal%3AMLB779362-1#polycard_client=offers&deal_print_id=a301d43d-f853-4d3b-8489-c5387390cd49&position=24&tracking_id=3a75e362-8be6-4c50-8f21-a47583d138aa&wid=MLB5761677016&sid=offers,MLB58582424,57.77,sim,37,oferta_relampago,https://http2.mlstatic.com/D_Q_NP_2X_991094-MLA97048061291_112025-AB.webp,ofertas
